,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.20724 ± 0.005,0.14778 ± 0.003,0.12108 ± 0.003,0.16740 ± 0.028,0.11803 ± 0.002,0.16217 ± 0.003,0.11753 ± 0.003,0.18225 ± 0.014,0.12969 ± 0.003,0.12389 ± 0.003,0.18588 ± 0.020,0.22924 ± 0.008
Q1_Q3_0.25,0.18736 ± 0.003,0.14170 ± 0.001,0.11201 ± 0.003,0.15096 ± 0.005,0.11515 ± 0.001,0.15248 ± 0.001,0.10697 ± 0.002,0.15683 ± 0.011,0.12636 ± 0.003,0.12370 ± 0.001,0.20244 ± 0.008,0.21345 ± 0.002
Q1_Q4_0.25,0.27671 ± 0.004,0.18112 ± 0.002,0.13298 ± 0.003,0.16050 ± 0.001,0.15120 ± 0.001,0.21632 ± 0.002,0.13688 ± 0.003,0.19616 ± 0.008,0.16421 ± 0.002,0.16871 ± 0.004,0.31246 ± 0.004,0.29468 ± 0.005
Q2_Q3_0.25,0.09334 ± 0.001,0.12102 ± 0.004,0.10257 ± 0.005,0.13232 ± 0.004,0.10113 ± 0.002,0.10154 ± 0.003,0.08639 ± 0.004,0.14175 ± 0.007,0.10364 ± 0.003,0.10671 ± 0.002,0.15999 ± 0.002,0.13765 ± 0.002
Q2_Q4_0.25,0.23404 ± 0.003,0.16942 ± 0.001,0.12620 ± 0.004,0.14990 ± 0.003,0.14289 ± 0.006,0.17803 ± 0.002,0.12291 ± 0.002,0.17870 ± 0.005,0.14985 ± 0.003,0.15892 ± 0.005,0.28977 ± 0.005,0.25394 ± 0.003
Q3_Q4_0.25,0.23517 ± 0.003,0.17625 ± 0.004,0.12526 ± 0.004,0.15585 ± 0.005,0.13691 ± 0.002,0.17619 ± 0.004,0.12075 ± 0.003,0.20224 ± 0.014,0.15189 ± 0.005,0.15994 ± 0.003,0.29262 ± 0.011,0.25596 ± 0.004
Q1_0.25,0.26390 ± 0.006,0.16140 ± 0.003,0.11515 ± 0.006,0.13718 ± 0.004,0.12761 ± 0.004,0.19146 ± 0.007,0.12230 ± 0.004,0.15547 ± 0.013,0.13263 ± 0.003,0.12941 ± 0.002,0.22207 ± 0.026,0.28387 ± 0.004
Q2_0.25,0.10859 ± 0.003,0.11871 ± 0.001,0.09038 ± 0.004,0.15044 ± 0.049,0.08360 ± 0.001,0.10419 ± 0.003,0.08399 ± 0.003,0.10834 ± 0.012,0.09750 ± 0.004,0.09692 ± 0.004,0.13766 ± 0.013,0.14906 ± 0.002
Q3_0.25,0.08500 ± 0.001,0.12111 ± 0.003,0.08898 ± 0.002,0.12871 ± 0.013,0.10024 ± 0.002,0.10147 ± 0.002,0.08677 ± 0.002,0.13469 ± 0.007,0.10947 ± 0.005,0.11322 ± 0.003,0.18293 ± 0.011,0.13274 ± 0.001
Q4_0.25,0.32532 ± 0.005,0.20373 ± 0.009,0.14147 ± 0.005,0.16456 ± 0.006,0.17718 ± 0.004,0.24084 ± 0.003,0.15018 ± 0.004,0.25964 ± 0.013,0.19236 ± 0.005,0.20543 ± 0.008,0.39181 ± 0.016,0.34093 ± 0.008
Q1_Q2_0.5,0.23755 ± 0.005,0.16018 ± 0.001,0.14410 ± 0.001,0.20643 ± 0.012,0.13203 ± 0.002,0.19956 ± 0.002,0.13151 ± 0.002,0.28193 ± 0.023,0.14261 ± 0.002,0.13405 ± 0.002,0.20109 ± 0.018,0.25814 ± 0.004
Q1_Q3_0.5,0.20126 ± 0.005,0.15356 ± 0.002,0.13700 ± 0.001,0.19358 ± 0.005,0.13088 ± 0.001,0.17161 ± 0.003,0.12512 ± 0.001,0.22832 ± 0.018,0.13717 ± 0.002,0.13322 ± 0.002,0.21182 ± 0.011,0.22471 ± 0.005
Q1_Q4_0.5,0.27553 ± 0.003,0.20950 ± 0.003,0.17105 ± 0.002,0.21591 ± 0.005,0.18633 ± 0.003,0.24958 ± 0.002,0.15864 ± 0.003,0.26580 ± 0.008,0.18784 ± 0.003,0.19097 ± 0.003,0.30544 ± 0.002,0.29323 ± 0.004
Q2_Q3_0.5,0.09669 ± 0.002,0.13538 ± 0.001,0.11277 ± 0.004,17.42233 ± 34.467,0.12054 ± 0.001,0.10926 ± 0.002,0.10329 ± 0.003,0.22171 ± 0.009,0.11378 ± 0.002,0.11883 ± 0.003,0.15480 ± 0.003,0.13960 ± 0.003
