,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.98163 ± 0.011,0.98156 ± 0.008,0.96994 ± 0.018,0.97726 ± 0.016,0.98161 ± 0.007,0.97794 ± 0.005,0.98454 ± 0.007,0.97066 ± 0.014,0.99115 ± 0.006,0.98674 ± 0.011,0.96409 ± 0.019,0.97062 ± 0.020,0.35105 ± 0.017,0.97796 ± 0.011
Q1_Q3_0.25,0.98237 ± 0.014,0.97491 ± 0.010,0.97578 ± 0.016,0.98163 ± 0.010,0.98454 ± 0.009,0.98381 ± 0.009,0.98308 ± 0.008,0.97872 ± 0.017,0.99482 ± 0.004,0.99115 ± 0.012,0.95739 ± 0.009,0.95167 ± 0.040,0.35689 ± 0.006,0.97653 ± 0.017
Q1_Q4_0.25,0.98310 ± 0.013,0.99189 ± 0.006,0.98456 ± 0.010,0.99336 ± 0.005,0.99556 ± 0.004,0.99483 ± 0.004,0.99189 ± 0.006,0.98235 ± 0.012,0.99704 ± 0.004,0.98080 ± 0.010,0.95674 ± 0.021,0.98014 ± 0.014,0.35689 ± 0.006,0.98382 ± 0.009
Q2_Q3_0.25,0.99188 ± 0.007,0.97049 ± 0.008,0.99483 ± 0.006,0.99704 ± 0.004,0.99263 ± 0.005,0.98895 ± 0.009,0.99114 ± 0.003,0.99337 ± 0.005,0.99704 ± 0.004,0.99483 ± 0.006,0.96990 ± 0.010,0.97509 ± 0.019,0.35689 ± 0.006,0.99556 ± 0.003
Q2_Q4_0.25,0.99115 ± 0.008,0.97635 ± 0.005,1.00000 ± 0.000,0.99853 ± 0.003,0.99557 ± 0.003,0.99557 ± 0.003,0.99705 ± 0.003,0.99852 ± 0.002,1.00000 ± 0.000,0.99332 ± 0.006,0.97868 ± 0.008,0.95518 ± 0.021,0.35689 ± 0.006,0.99704 ± 0.004
Q3_Q4_0.25,0.99851 ± 0.003,0.97047 ± 0.009,0.99111 ± 0.004,1.00000 ± 0.000,1.00000 ± 0.000,1.00000 ± 0.000,0.99927 ± 0.001,1.00000 ± 0.000,1.00000 ± 0.000,0.98442 ± 0.017,0.96839 ± 0.013,0.97426 ± 0.011,0.35689 ± 0.006,0.99927 ± 0.001
Q1_0.25,0.98237 ± 0.012,0.99263 ± 0.005,0.97066 ± 0.014,0.98822 ± 0.009,0.98234 ± 0.009,0.98234 ± 0.009,0.98454 ± 0.006,0.97212 ± 0.015,0.98969 ± 0.009,0.98455 ± 0.018,0.97501 ± 0.015,0.97865 ± 0.010,0.35689 ± 0.006,0.97870 ± 0.014
Q2_0.25,0.99043 ± 0.009,0.98601 ± 0.012,0.98969 ± 0.009,0.99704 ± 0.004,0.98895 ± 0.009,0.98895 ± 0.009,0.99042 ± 0.005,0.99263 ± 0.005,0.99630 ± 0.003,0.99117 ± 0.012,0.97867 ± 0.018,0.98086 ± 0.010,0.35689 ± 0.006,0.99189 ± 0.004
Q3_0.25,0.99853 ± 0.003,0.98600 ± 0.012,1.00000 ± 0.000,1.00000 ± 0.000,1.00000 ± 0.000,1.00000 ± 0.000,0.99704 ± 0.003,1.00000 ± 0.000,1.00000 ± 0.000,0.99483 ± 0.009,0.97350 ± 0.016,0.96768 ± 0.015,0.35689 ± 0.006,1.00000 ± 0.000
Q4_0.25,0.99704 ± 0.004,0.99263 ± 0.005,1.00000 ± 0.000,1.00000 ± 0.000,1.00000 ± 0.000,1.00000 ± 0.000,1.00000 ± 0.000,1.00000 ± 0.000,1.00000 ± 0.000,0.99485 ± 0.006,0.98675 ± 0.004,0.96406 ± 0.037,0.35689 ± 0.006,1.00000 ± 0.000
